,school,district_id,district_name,EMH,EMH_combined,school_id,achievement_dir,growth_dir,overall_dir,emh
0,ABRAHAM LINCOLN HIGH SCHOOL,880,DENVER COUNTY 1,H,,10,up,flat,flat,H
1,ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,,11,flat,down,flat,E
2,ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,M,,11,flat,down,flat,M
3,ACRES GREEN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,12,flat,flat,flat,E
4,GLACIER PEAK ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,14,down,flat,flat,E
5,ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,E,,15,flat,flat,down,E
6,ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,H,,15,up,flat,flat,H
7,ACADEMY OF CHARTER SCHOOLS,20,ADAMS 12 FIVE STAR SCHOOLS,M,,15,flat,flat,flat,M
8,FOX HOLLOW ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,16,flat,flat,flat,E
9,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,17,flat,flat,flat,E
10,LIBERTY MIDDLE SCHOOL,130,CHERRY CREEK 5,M,,18,flat,up,flat,M
11,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,19,flat,flat,down,E
12,ADAMS CITY MIDDLE SCHOOL,30,ADAMS COUNTY 14,M,,20,flat,flat,flat,M
13,ADAMS CITY HIGH SCHOOL,30,ADAMS COUNTY 14,H,,24,up,flat,flat,H
14,SKY VIEW MIDDLE SCHOOL,2700,PUEBLO COUNTY 70,M,,25,flat,down,down,M
15,DESERT SAGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,26,flat,flat,down,E
16,ADAMS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,30,up,flat,up,E
17,RED HILL ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,,37,flat,flat,flat,E
18,BRUSH CREEK ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,,38,up,flat,flat,E
19,GYPSUM CREEK MIDDLE SCHOOL,910,EAGLE COUNTY RE 50,M,,39,flat,flat,flat,M
20,RIDGE VIEW ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,H,,40,flat,up,up,H
21,ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,E,,42,up,flat,flat,E
22,ASPEN COMMUNITY CHARTER SCHOOL,2640,ASPEN 1,M,,42,up,up,flat,M
23,HEIMAN ELEMENTARY SCHOOL,3120,GREELEY 6,E,,52,flat,flat,flat,E
24,WINOGRAD K-8 ELEMENTARY SCHOOL,3120,GREELEY 6,E,,53,up,flat,flat,E
25,WINOGRAD K-8 ELEMENTARY SCHOOL,3120,GREELEY 6,M,,53,up,down,flat,M
26,ROMERO ELEMENTARY SCHOOL,3120,GREELEY 6,E,,54,flat,flat,down,E
27,GRANDVIEW ELEMENTARY SCHOOL,3100,WINDSOR RE-4,E,,55,flat,up,up,E
28,FOWLER ELEMENTARY SCHOOL,2540,FOWLER R-4J,E,,56,flat,down,down,E
29,ROCKY TOP MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,,57,flat,up,up,M
30,MERIDIAN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,59,flat,up,up,E
31,LEGACY ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,60,up,up,up,E
32,ALPINE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,61,flat,up,up,E
33,PEAKVIEW SCHOOL,1390,HUERFANO RE-1,E,,63,flat,flat,flat,E
34,PEAKVIEW SCHOOL,1390,HUERFANO RE-1,M,,63,flat,flat,flat,M
35,COAL RIDGE HIGH SCHOOL,1195,GARFIELD RE-2,H,,65,flat,flat,flat,H
36,CHALLENGER MIDDLE SCHOOL,1040,ACADEMY 20,M,,74,flat,flat,flat,M
37,ANIMAS HIGH SCHOOL,8001,CHARTER SCHOOL INSTITUTE,H,,75,flat,flat,flat,H
38,AIR ACADEMY HIGH SCHOOL,1040,ACADEMY 20,H,,76,down,flat,down,H
39,AKRON ELEMENTARY SCHOOL,3030,AKRON R-1,E,,86,up,up,up,E
40,AKRON ELEMENTARY SCHOOL,3030,AKRON R-1,M,,86,flat,flat,flat,M
41,AKRON HIGH SCHOOL,3030,AKRON R-1,H,,90,flat,up,flat,H
42,ALAMEDA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,108,flat,flat,flat,H
43,ARVADA K-8,1420,JEFFERSON COUNTY R-1,E,,109,flat,flat,flat,E
44,ARVADA K-8,1420,JEFFERSON COUNTY R-1,M,,109,flat,flat,flat,M
45,ORTEGA MIDDLE SCHOOL,100,ALAMOSA RE-11J,M,,114,flat,up,flat,M
46,ALAMOSA HIGH SCHOOL,100,ALAMOSA RE-11J,H,,118,up,flat,flat,H
47,SKY VISTA MIDDLE SCHOOL,130,CHERRY CREEK 5,M,,141,flat,flat,flat,M
48,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,E,,146,down,down,down,E
49,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,H,,146,flat,flat,flat,H
50,RIDGEVIEW CLASSICAL CHARTER SCHOOLS,1550,POUDRE R-1,M,,146,flat,flat,flat,M
51,ALLENDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,148,flat,down,down,E
52,ALSUP ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,E,,186,flat,up,up,E
