,,DISTRICT/,,Total,,,
,,BOCES,Total,Support,Community,Other,Total
,COUNTY,FPC,Instruction,Services,Services,Expenditures,Expenditures
,,,,,,,
,ADAMS,MAPLETON 1,,,,,
$ ,Amount,,"39,962,942","23,760,636","237,704","5,474,579","69,435,862"
$ ,Per Pupil,"7,193.3 "," 5,556 "," 3,303 ", 33 , 761 ," 9,653 "
% ,All Funds,,57.6 ,34.2 ,0.3 ,7.9 ,100.0 
,,,,,,,
,ADAMS,ADAMS 12 FIVE STAR,,,,,
$ ,Amount,,"220,263,102","130,356,958","943,009","83,867,989","435,431,057"
$ ,Per Pupil,"40,181.5 "," 5,482 "," 3,244 ", 23 ," 2,087 "," 10,837 "
% ,All Funds,,50.6 ,29.9 ,0.2 ,19.3 ,100.0 
,,,,,,,
,ADAMS,ADAMS COUNTY 14,,,,,
$ ,Amount,,"34,792,431","34,598,159","703,485","7,862,015","77,956,091"
$ ,Per Pupil,"7,020.8 "," 4,956 "," 4,928 ", 100 ," 1,120 "," 11,104 "
% ,All Funds,,44.6 ,44.4 ,0.9 ,10.1 ,100.0 
,,,,,,,
,ADAMS,BRIGHTON 27J,,,,,
$ ,Amount,,"62,557,927","50,921,503","219,987","18,440,305","132,139,723"
$ ,Per Pupil,"14,228.4 "," 4,397 "," 3,579 ", 15 ," 1,296 "," 9,287 "
% ,All Funds,,47.3 ,38.5 ,0.2 ,14.0 ,100.0 
,,,,,,,
,ADAMS,BENNETT 29J,,,,,
$ ,Amount,,"4,853,879","3,540,284",0,"1,004,359","9,398,521"
$ ,Per Pupil,"1,069.9 "," 4,537 "," 3,309 ", 0 , 939 ," 8,784 "
% ,All Funds,,51.6 ,37.7 ,0.0 ,10.7 ,100.0 
,,,,,,,
,ADAMS,STRASBURG 31J,,,,,
$ ,Amount,,"4,497,076","3,223,717","-4,300","1,009,507","8,726,000"
$ ,Per Pupil,957.4 ," 4,697 "," 3,367 ",(4)," 1,054 "," 9,114 "
% ,All Funds,,51.5 ,36.9 ,0.0 ,11.6 ,100.0 
,,,,,,,
,ADAMS,WESTMINSTER 50,,,,,
$ ,Amount,,"51,573,466","45,083,219","672,186","17,935,732","115,264,602"
$ ,Per Pupil,"9,511.0 "," 5,423 "," 4,740 ", 71 ," 1,886 "," 12,119 "
% ,All Funds,,44.7 ,39.1 ,0.6 ,15.6 ,100.0 
,,,,,,,
,ALAMOSA,ALAMOSA RE-11J,,,,,
$ ,Amount,,"9,485,099","7,644,903",0,"11,335,082","28,465,085"
$ ,Per Pupil,"2,109.7 "," 4,496 "," 3,624 ", 0 ," 5,373 "," 13,492 "
% ,All Funds,,33.3 ,26.9 ,0.0 ,39.8 ,100.0 
,,,,,,,
,ALAMOSA,SANGRE DE CRISTO RE-22J,,,,,
$ ,Amount,,"1,801,524","1,692,183",0,"18,232,716","21,726,423"
$ ,Per Pupil,304.2 ," 5,922 "," 5,563 ", 0 ," 59,937 "," 71,422 "
% ,All Funds,,8.3 ,7.8 ,0.0 ,83.9 ,100.0 
,,,,,,,
,ARAPAHOE,ENGLEWOOD 1,,,,,
$ ,Amount,,"18,997,302","13,744,698","198,072","3,669,671","36,609,743"
$ ,Per Pupil,"3,044.7 "," 6,239 "," 4,514 ", 65 ," 1,205 "," 12,024 "
% ,All Funds,,51.9 ,37.5 ,0.5 ,10.0 ,100.0 
,,,,,,,
,ARAPAHOE,SHERIDAN 2,,,,,
$ ,Amount,,"10,383,421","9,979,789","127,830","2,772,336","23,263,376"
$ ,Per Pupil,"1,495.8 "," 6,942 "," 6,672 ", 85 ," 1,853 "," 15,552 "
% ,All Funds,,44.6 ,42.9 ,0.5 ,11.9 ,100.0 
,,,,,,,
,ARAPAHOE,CHERRY CREEK 5,,,,,
$ ,Amount,,"325,369,557","149,536,602","1,109,534","133,309,143","609,324,836"
