district_name,est_child_poverty,est_total_child,est_total_pop,year,child_pov_ratio,child_adult_ratio
Cheyenne County School District RE-5,27,243,1382,2012,0.1111111111111111,0.17583212735166426
Yuma School District 1,197,987,5055,2012,0.19959473150962512,0.19525222551928784
Wray School District RD-2,126,734,3988,2012,0.17166212534059946,0.18405215646940823
Idalia School District RJ-3,15,93,506,2012,0.16129032258064516,0.18379446640316205
Liberty School District J-4,9,70,509,2012,0.12857142857142856,0.137524557956778
Academy School District 20,1401,21803,101283,2012,0.06425721231023254,0.21526811014681635
Adams County School District 14,2820,8597,37948,2012,0.32802140281493547,0.22654685358912197
Agate School District 300,7,102,672,2012,0.06862745098039216,0.15178571428571427
Aguilar Reorganized School District 6,56,154,1130,2012,0.36363636363636365,0.13628318584070798
Akron School District R-1,71,375,2429,2012,0.18933333333333333,0.1543845203787567
Alamosa School District RE-11J,772,2410,14964,2012,0.3203319502074689,0.16105319433306603
South Conejos School District RE-10,136,358,2246,2012,0.37988826815642457,0.15939447907390916
Archuleta County School District 50-JT,402,1645,11512,2012,0.24437689969604864,0.14289437109103545
Arickaree School District R-2,13,111,623,2012,0.11711711711711711,0.1781701444622793
Arriba-Flagler School District C-20,40,155,1123,2012,0.25806451612903225,0.13802315227070347
Aspen School District 1,122,1600,13102,2012,0.07625,0.12211876049458098
Ault-Highland School District RE-9,201,1125,5828,2012,0.17866666666666667,0.19303363074811256
Adams-Arapahoe School District 28J,10828,40356,214870,2012,0.26831202299534146,0.18781588867687438
Platte Canyon School District 1,207,1382,9143,2012,0.14978292329956586,0.15115388822049655
Bayfield School District R-10-JT,143,1463,8631,2012,0.09774436090225563,0.16950527169505272
Bennett School District 29-J,180,1329,6456,2012,0.13544018058690746,0.2058550185873606
Bethune School District R-5,28,118,523,2012,0.23728813559322035,0.22562141491395793
Boulder Valley School District RE-2,2622,30456,219992,2012,0.08609141055949567,0.1384413978690134
Branson Reorganized School District 82,5,32,167,2012,0.15625,0.19161676646706588
