district_id,school,school_id,eng_yn,math_yn,read_yn,sci_yn
10.0,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,187.0,0,0,0,0
10.0,MAPLETON EARLY COLLEGE HIGH SCHOOL,212.0,1,0,0,0
10.0,WELBY NEW TECHNOLOGY,221.0,0,0,0,0
10.0,GLOBAL LEADERSHIP ACADEMY,263.0,0,0,0,0
10.0,SKYVIEW ACADEMY HIGH SCHOOL,309.0,0,0,0,0
10.0,YORK INTERNATIONAL,503.0,1,0,0,0
20.0,ACADEMY OF CHARTER SCHOOLS,15.0,1,0,0,0
20.0,VANTAGE POINT,210.0,0,0,0,0
20.0,COLORADO VIRTUAL ACADEMY (COVA),1752.0,1,0,0,0
20.0,HORIZON HIGH SCHOOL,4108.0,1,0,0,0
20.0,LEGACY HIGH SCHOOL,5043.0,1,0,0,0
20.0,THORNTON HIGH SCHOOL,5816.0,1,0,0,0
20.0,MOUNTAIN RANGE HIGH SCHOOL,6060.0,1,0,0,0
20.0,NEW AMERICA SCHOOL,6261.0,0,0,0,0
20.0,NORTHGLENN HIGH SCHOOL,6402.0,0,0,0,0
30.0,LESTER R ARNOLD HIGH SCHOOL,22.0,0,0,0,0
30.0,ADAMS CITY HIGH SCHOOL,24.0,0,0,0,0
40.0,BRIGHTON HERITAGE ACADEMY,1021.0,0,0,0,0
40.0,BRIGHTON HIGH SCHOOL,1022.0,1,0,0,0
40.0,BRIGHTON COLLEGIATE HIGH SCHOOL,1027.0,1,0,0,0
40.0,PRAIRIE VIEW HIGH SCHOOL,7129.0,0,0,0,0
50.0,BENNETT HIGH SCHOOL,775.0,1,0,0,0
60.0,STRASBURG HIGH SCHOOL,8334.0,1,0,0,0
70.0,HIDDEN LAKE HIGH SCHOOL,3931.0,0,0,0,0
70.0,WESTMINSTER HIGH SCHOOL,9466.0,0,0,0,0
100.0,ALAMOSA HIGH SCHOOL,118.0,0,0,0,0
100.0,ALAMOSA OPEN SCHOOL,119.0,0,0,0,0
120.0,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,206.0,0,0,0,0
120.0,ENGLEWOOD HIGH SCHOOL,2746.0,0,0,0,0
123.0,SHERIDAN HIGH SCHOOL,7842.0,0,0,0,0
130.0,CHEROKEE TRAIL HIGH SCHOOL,1551.0,1,0,0,0
130.0,CHERRY CREEK HIGH SCHOOL,1570.0,1,1,1,1
130.0,EAGLECREST HIGH SCHOOL,2357.0,1,0,0,0
130.0,GRANDVIEW HIGH SCHOOL,3589.0,1,0,1,0
130.0,OVERLAND HIGH SCHOOL,6625.0,0,0,0,0
130.0,SMOKY HILL HIGH SCHOOL,8020.0,1,0,0,0
140.0,ARAPAHOE HIGH SCHOOL,298.0,1,1,1,0
140.0,HERITAGE HIGH SCHOOL,3930.0,1,0,1,0
