district_id,district_name,school_id,school,pct_fr,unnamed: 5,unnamed: 6,unnamed: 7
0010,MAPLETON 1,187.0,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,0.6942,,,
0010,MAPLETON 1,212.0,MAPLETON EARLY COLLEGE HIGH SCHOOL,0.6878,,,
0010,MAPLETON 1,263.0,GLOBAL LEADERSHIP ACADEMY,0.9018,,,
0010,MAPLETON 1,309.0,ACADEMY HIGH SCHOOL,0.7767000000000001,,,
0010,MAPLETON 1,501.0,MONTEREY COMMUNITY SCHOOL,0.8293,,,
0010,MAPLETON 1,502.0,MEADOW COMMUNITY SCHOOL,0.8068000000000001,,,
0010,MAPLETON 1,503.0,YORK INTERNATIONAL,0.7282,,,
0010,MAPLETON 1,504.0, WELBY MONTESSORI SCHOOL,0.7945,,,
0010,MAPLETON 1,505.0,ACHIEVE ACADEMY,0.8247,,,
0010,MAPLETON 1,506.0,EXPLORE ELEMENTARY,0.7056999999999999,,,
0010,MAPLETON 1,507.0,ADVENTURE ELEMENTARY,0.8801000000000001,,,
0010,MAPLETON 1,509.0,CLAYTON PARTNERSHIP SCHOOL,0.7864,,,
0010,MAPLETON 1,1796.0,COLORADO CONNECTIONS ACADEMY,0.42,,,
0010,MAPLETON 1,4699.0,THE NEW AMERICA SCHOOL,0.733,,,
0010,MAPLETON 1,5539.0,MAPLETON EARLY LEARNING CENTER,0.0,,,
0010,MAPLETON 1,6315.0,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,0.4459,,,
0010,MAPLETON 1,9036.0,VALLEY VIEW K-8,0.7025,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,14.0,GLACIER PEAK ELEMENTARY SCHOOL,0.33590000000000003,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,15.0,ACADEMY OF CHARTER SCHOOLS,0.08460000000000001,,,
0020,ADAMS 12 FIVE STAR SCHOOLS,57.0,ROCKY TOP MIDDLE SCHOOL,0.1427,,,
