district_id,district_name,school_id,school,total,pct_amind,pct_asian,pct_black,pct_hisp,pct_white,pct_pi,pct_2ormore,year
10,MAPLETON 1,187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,543,0.012891344,0.005524862,0.033149171,0.572744015,0.344383057,0.001841621,0.02946593,2010
10,MAPLETON 1,212,FRONT RANGE EARLY COLLEGE,174,0.034482759,0.005747126,0.028735632,0.568965517,0.350574713,0.0,0.011494253,2010
10,MAPLETON 1,263,GLOBAL LEADERSHIP ACADEMY,447,0.002237136,0.0,0.026845638,0.850111857,0.109619687,0.0,0.011185682,2010
10,MAPLETON 1,309,SKYVIEW ACADEMY HIGH SCHOOL,311,0.003215434,0.032154341,0.012861736,0.710610932,0.234726688,0.0,0.006430868,2010
10,MAPLETON 1,501,MONTEREY COMMUNITY SCHOOL,385,0.012987013,0.01038961,0.005194805,0.797402597,0.161038961,0.0,0.012987013,2010
10,MAPLETON 1,502,MEADOW COMMUNITY SCHOOL,421,0.014251781,0.033254157,0.016627078,0.731591449,0.175771971,0.0,0.028503563,2010
10,MAPLETON 1,503,YORK INTERNATIONAL,740,0.012162162,0.008108108,0.013513514,0.739189189,0.197297297,0.001351351,0.028378378,2010
10,MAPLETON 1,504,HIGHLAND MONTESSORI SCHOOL,299,0.013377926,0.036789298,0.016722408,0.642140468,0.274247492,0.0,0.016722408,2010
10,MAPLETON 1,505,ACHIEVE ACADEMY,454,0.00660793,0.008810573,0.011013216,0.77753304,0.182819383,0.0,0.013215859,2010
10,MAPLETON 1,506,EXPLORE ELEMENTARY,360,0.005555556,0.005555556,0.022222222,0.583333333,0.35,0.011111111,0.022222222,2010
10,MAPLETON 1,507,ADVENTURE ELEMENTARY,364,0.010989011,0.005494505,0.008241758,0.821428571,0.148351648,0.0,0.005494505,2010
10,MAPLETON 1,509,CLAYTON PARTNERSHIP SCHOOL,434,0.011520737,0.013824885,0.016129032,0.626728111,0.304147465,0.0,0.02764977,2010
10,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,1372,0.018950437,0.004373178,0.065597668,0.124635569,0.766763848,0.003644315,0.016034985,2010
10,MAPLETON 1,4699,THE NEW AMERICA SCHOOL,439,0.004555809,0.004555809,0.004555809,0.956719818,0.029612756,0.0,0.0,2010
10,MAPLETON 1,5539,MAPLETON EARLY LEARNING CENTER,334,0.0,0.02994012,0.011976048,0.700598802,0.233532934,0.0,0.023952096,2010
10,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,83,0.036144578,0.0,0.048192771,0.56626506,0.337349398,0.0,0.012048193,2010
10,MAPLETON 1,9036,VALLEY VIEW K-8,474,0.03164557,0.006329114,0.008438819,0.67721519,0.242616034,0.002109705,0.03164557,2010
20,ADAMS 12 FIVE STAR SCHOOLS,0,NOT IN A SCHOOL,6,0.0,0.0,0.0,0.666666667,0.166666667,0.0,0.166666667,2010
20,ADAMS 12 FIVE STAR SCHOOLS,14,GLACIER PEAK ELEMENTARY SCHOOL,525,0.0,0.022857143,0.005714286,0.356190476,0.603809524,0.0,0.011428571,2010
20,ADAMS 12 FIVE STAR SCHOOLS,15,ACADEMY OF CHARTER SCHOOLS,1306,0.003062787,0.025267994,0.006891271,0.250382848,0.706738132,0.001531394,0.006125574,2010
20,ADAMS 12 FIVE STAR SCHOOLS,57,ROCKY TOP MIDDLE SCHOOL,1104,0.002717391,0.00634058,0.000905797,0.168478261,0.817934783,0.0,0.003623188,2010
20,ADAMS 12 FIVE STAR SCHOOLS,59,MERIDIAN ELEMENTARY SCHOOL,653,0.001531394,0.022970904,0.009188361,0.078101072,0.868300153,0.001531394,0.018376723,2010
20,ADAMS 12 FIVE STAR SCHOOLS,70,ADAMS12 FIVE STAR PRESCHOOL,753,0.001328021,0.03187251,0.009296149,0.533864542,0.407702523,0.001328021,0.014608234,2010
20,ADAMS 12 FIVE STAR SCHOOLS,210,VANTAGE POINT,489,0.010224949,0.006134969,0.020449898,0.431492843,0.525562372,0.00204499,0.00408998,2010
20,ADAMS 12 FIVE STAR SCHOOLS,301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,635,0.001574803,0.017322835,0.007874016,0.220472441,0.743307087,0.0,0.009448819,2010
20,ADAMS 12 FIVE STAR SCHOOLS,1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010
20,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,479,0.004175365,0.035490605,0.0,0.386221294,0.565762004,0.0,0.008350731,2010
20,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,1120,0.005357143,0.013392857,0.009821429,0.200892857,0.764285714,0.001785714,0.004464286,2010
20,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,645,0.0,0.089922481,0.001550388,0.074418605,0.796899225,0.0,0.037209302,2010
20,ADAMS 12 FIVE STAR SCHOOLS,1752,COLORADO VIRTUAL ACADEMY (COVA),5034,0.016686532,0.016090584,0.03178387,0.153357171,0.781485896,0.0,0.000595948,2010
20,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,538,0.001858736,0.003717472,0.00929368,0.814126394,0.159851301,0.003717472,0.007434944,2010
20,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,660,0.001515152,0.028787879,0.010606061,0.175757576,0.763636364,0.0,0.01969697,2010
