district_id,school,district_name,school_id,eng_yn,math_yn,read_yn,sci_yn
10,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,MAPLETON 1,187,0.0,0.0,0.0,0.0
10,MAPLETON EARLY COLLEGE HIGH SCHOOL,MAPLETON 1,212,1.0,0.0,0.0,0.0
10,WELBY NEW TECHNOLOGY,MAPLETON 1,221,,,,
10,GLOBAL LEADERSHIP ACADEMY,MAPLETON 1,263,0.0,0.0,0.0,0.0
10,SKYVIEW ACADEMY HIGH SCHOOL,MAPLETON 1,309,0.0,0.0,0.0,0.0
10,YORK INTERNATIONAL,MAPLETON 1,503,0.0,0.0,0.0,0.0
10,COLORADO CONNECTIONS ACADEMY,MAPLETON 1,1796,1.0,0.0,1.0,0.0
10,THE NEW AMERICA SCHOOL,MAPLETON 1,4699,0.0,0.0,0.0,0.0
20,ACADEMY OF CHARTER SCHOOLS,ADAMS 12 FIVE STAR SCHOOLS,15,1.0,0.0,0.0,0.0
20,VANTAGE POINT,ADAMS 12 FIVE STAR SCHOOLS,210,0.0,0.0,0.0,0.0
20,COLORADO VIRTUAL ACADEMY (COVA),ADAMS 12 FIVE STAR SCHOOLS,1752,1.0,0.0,1.0,0.0
20,HORIZON HIGH SCHOOL,ADAMS 12 FIVE STAR SCHOOLS,4108,1.0,0.0,0.0,0.0
20,LEGACY HIGH SCHOOL,ADAMS 12 FIVE STAR SCHOOLS,5043,1.0,0.0,1.0,0.0
20,THORNTON HIGH SCHOOL,ADAMS 12 FIVE STAR SCHOOLS,5816,0.0,0.0,0.0,0.0
20,MOUNTAIN RANGE HIGH SCHOOL,ADAMS 12 FIVE STAR SCHOOLS,6060,1.0,0.0,0.0,0.0
20,NEW AMERICA SCHOOL,ADAMS 12 FIVE STAR SCHOOLS,6261,,,,
20,NORTHGLENN HIGH SCHOOL,ADAMS 12 FIVE STAR SCHOOLS,6402,0.0,0.0,0.0,0.0
30,LESTER R ARNOLD HIGH SCHOOL,ADAMS COUNTY 14,22,0.0,0.0,0.0,0.0
30,ADAMS CITY HIGH SCHOOL,ADAMS COUNTY 14,24,0.0,0.0,0.0,0.0
40,BRIGHTON HERITAGE ACADEMY,BRIGHTON 27J,1021,0.0,0.0,0.0,0.0
40,BRIGHTON HIGH SCHOOL,BRIGHTON 27J,1022,0.0,0.0,0.0,0.0
40,BRIGHTON COLLEGIATE HIGH SCHOOL,BRIGHTON 27J,1027,,,,
40,EAGLE RIDGE ACADEMY,BRIGHTON 27J,2399,0.0,0.0,0.0,0.0
40,PRAIRIE VIEW HIGH SCHOOL,BRIGHTON 27J,7129,0.0,0.0,0.0,0.0
40,ADAMS YOUTH SERVICE CENTER,BRIGHTON 27J,9801,,,,
50,BENNETT HIGH SCHOOL,BENNETT 29J,775,1.0,0.0,0.0,0.0
60,STRASBURG HIGH SCHOOL,STRASBURG 31J,8334,1.0,0.0,1.0,0.0
70,HIDDEN LAKE HIGH SCHOOL,WESTMINSTER 50,3931,0.0,0.0,0.0,0.0
70,WESTMINSTER HIGH SCHOOL,WESTMINSTER 50,9466,0.0,0.0,0.0,0.0
100,ALAMOSA HIGH SCHOOL,ALAMOSA RE-11J,118,0.0,0.0,0.0,0.0
100,ALAMOSA OPEN SCHOOL,ALAMOSA RE-11J,119,,,,
110,SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,SANGRE DE CRISTO RE-22J,7630,1.0,0.0,1.0,0.0
120,COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,ENGLEWOOD 1,206,0.0,0.0,0.0,0.0
120,ENGLEWOOD HIGH SCHOOL,ENGLEWOOD 1,2746,0.0,0.0,0.0,0.0
123,SHERIDAN HIGH SCHOOL,SHERIDAN 2,7842,0.0,0.0,0.0,0.0
130,CHEROKEE TRAIL HIGH SCHOOL,CHERRY CREEK 5,1551,1.0,0.0,0.0,0.0
130,CHERRY CREEK HIGH SCHOOL,CHERRY CREEK 5,1570,1.0,1.0,1.0,1.0
130,EAGLECREST HIGH SCHOOL,CHERRY CREEK 5,2357,1.0,0.0,0.0,0.0
130,GRANDVIEW HIGH SCHOOL,CHERRY CREEK 5,3589,1.0,1.0,1.0,0.0
130,OVERLAND HIGH SCHOOL,CHERRY CREEK 5,6625,0.0,0.0,0.0,0.0
130,SMOKY HILL HIGH SCHOOL,CHERRY CREEK 5,8020,1.0,0.0,0.0,0.0
140,ARAPAHOE HIGH SCHOOL,LITTLETON 6,298,1.0,1.0,1.0,0.0
140,HERITAGE HIGH SCHOOL,LITTLETON 6,3930,1.0,1.0,1.0,0.0
140,LITTLETON HIGH SCHOOL,LITTLETON 6,5224,1.0,0.0,0.0,0.0
170,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,DEER TRAIL 26J,2140,1.0,0.0,0.0,0.0
180,APS ONLINE SCHOOL,ADAMS-ARAPAHOE 28J,219,0.0,0.0,0.0,0.0
180,AURORA CENTRAL HIGH SCHOOL,ADAMS-ARAPAHOE 28J,1458,0.0,0.0,0.0,0.0
180,GATEWAY HIGH SCHOOL,ADAMS-ARAPAHOE 28J,3354,0.0,0.0,0.0,0.0
180,HINKLEY HIGH SCHOOL,ADAMS-ARAPAHOE 28J,4024,0.0,0.0,0.0,0.0
180,LOTUS SCHOOL FOR EXCELLENCE,ADAMS-ARAPAHOE 28J,5298,0.0,0.0,0.0,0.0
180,NEW AMERICA SCHOOL,ADAMS-ARAPAHOE 28J,6219,0.0,0.0,0.0,0.0
180,RANGEVIEW HIGH SCHOOL,ADAMS-ARAPAHOE 28J,7250,1.0,0.0,0.0,0.0
180,WILLIAM SMITH HIGH SCHOOL,ADAMS-ARAPAHOE 28J,8356,1.0,0.0,0.0,0.0
190,BYERS JUNIOR-SENIOR HIGH SCHOOL,BYERS 32J,1176,0.0,0.0,0.0,0.0
220,ARCHULETA COUNTY HIGH SCHOOL,ARCHULETA COUNTY 50 JT,64,,,,
220,PAGOSA SPRINGS HIGH SCHOOL,ARCHULETA COUNTY 50 JT,6658,1.0,0.0,0.0,0.0
230,WALSH HIGH SCHOOL,WALSH RE-1,9226,,,,
240,PRITCHETT HIGH SCHOOL,PRITCHETT RE-3,7180,,,,
250,SPRINGFIELD HIGH SCHOOL,SPRINGFIELD RE-4,8168,1.0,0.0,0.0,0.0
260,V.I.L.A.S. ONLINE SCHOOL,VILAS RE-5,9085,,,,
260,VILAS UNDIVIDED HIGH SCHOOL,VILAS RE-5,9100,,,,
270,CAMPO UNDIVIDED HIGH SCHOOL,CAMPO RE-6,1252,,,,
290,LAS ANIMAS HIGH SCHOOL,LAS ANIMAS RE-1,4990,0.0,0.0,0.0,0.0
310,MC CLAVE UNDIVIDED HIGH SCHOOL,MC CLAVE RE-2,5670,0.0,0.0,0.0,0.0
470,ERIE HIGH SCHOOL,ST VRAIN VALLEY RE 1J,2761,1.0,0.0,0.0,0.0
470,FREDERICK SENIOR HIGH SCHOOL,ST VRAIN VALLEY RE 1J,3196,0.0,0.0,0.0,0.0
470,LONGMONT HIGH SCHOOL,ST VRAIN VALLEY RE 1J,5282,1.0,0.0,0.0,0.0
470,LYONS MIDDLE/SENIOR HIGH SCHOOL,ST VRAIN VALLEY RE 1J,5368,1.0,1.0,1.0,0.0
470,MEAD HIGH SCHOOL,ST VRAIN VALLEY RE 1J,5722,1.0,0.0,0.0,0.0
470,NIWOT HIGH SCHOOL,ST VRAIN VALLEY RE 1J,6276,1.0,1.0,1.0,1.0
470,OLDE COLUMBINE HIGH SCHOOL,ST VRAIN VALLEY RE 1J,6498,0.0,0.0,0.0,0.0
470,ADULT EDUCATION/LINCOLN CENTER,ST VRAIN VALLEY RE 1J,6499,,,,
470,SILVER CREEK HIGH SCHOOL,ST VRAIN VALLEY RE 1J,7789,1.0,0.0,1.0,0.0
470,SKYLINE HIGH SCHOOL,ST VRAIN VALLEY RE 1J,7954,0.0,0.0,0.0,0.0
480,ARAPAHOE RIDGE HIGH SCHOOL,BOULDER VALLEY RE 2,125,0.0,0.0,0.0,0.0
480,BOULDER HIGH SCHOOL,BOULDER VALLEY RE 2,924,1.0,1.0,1.0,0.0
480,BOULDER UNIVERSAL,BOULDER VALLEY RE 2,930,,,,
480,BOULDER PREP CHARTER HIGH SCHOOL,BOULDER VALLEY RE 2,934,0.0,0.0,0.0,0.0
480,BROOMFIELD HIGH SCHOOL,BOULDER VALLEY RE 2,1070,1.0,1.0,1.0,0.0
